Report generated on: 07-01-2021 17:37:32
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","Nigeria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-12-NGA-BKWH.A","    Generation (billion kWh)","6.867","7.84","8.14","8.283","8.573","9.929","11.396","10.753","11.155","12.251","12.029","13.613","14.247","13.913","14.877","13.889","14.367","14.697","14.73","15.432","14.144","14.844","20.676","19.358","23.237","22.528","22.049","21.92394","20.14266","18.83012","24.88918","25.72294","27.30418","27.45958","30.6119","30.80797","32.00801","32.79439","34.45342",""
"INTL.27-12-NGA-BKWH.A","        Nuclear (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.28-12-NGA-BKWH.A","        Fossil fuels (billion kWh)","4.143","5.549","5.746","6.427","6.004","6.951","7.802","7.502","7.187","8.152","7.686","7.742","8.249","8.397","9.371","8.444","8.922","9.16","9.013","9.344","8.445","8.981","12.511","11.971","15.197","14.825","15.836","15.74594","14.46566","14.33312","18.56218","19.88194","21.66418","22.14358","25.2719","25.09518","23.88352","25.06886","28.00354",""
"INTL.29-12-NGA-BKWH.A","        Renewables (billion kWh)","2.724","2.291","2.394","1.856","2.569","2.978","3.594","3.251","3.968","4.099","4.343","5.871","5.998","5.516","5.506","5.445","5.445","5.537","5.717","6.088","5.699","5.863","8.165","7.387","8.04","7.703","6.213","6.178","5.677","4.497","6.327","5.841","5.64","5.316","5.34","5.71279","8.12449","7.72553","6.44988",""
"INTL.33-12-NGA-BKWH.A","            Hydroelectricity (billion kWh)","2.724","2.291","2.394","1.856","2.569","2.978","3.594","3.251","3.968","4.099","4.343","5.871","5.998","5.516","5.506","5.445","5.445","5.537","5.717","6.088","5.686","5.85","8.152","7.374","8.027","7.69","6.2","6.165","5.664","4.484","6.31","5.824","5.602","5.273","5.293","5.66379","8.06949","7.66953","6.39342",""
"INTL.34-12-NGA-BKWH.A","            Non-hydroelectric renewables (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.013","0.013","0.013","0.013","0.013","0.013","0.013","0.013","0.013","0.013","0.017","0.017","0.038","0.043","0.047","0.049","0.055","0.056","0.05646",""
"INTL.35-12-NGA-BKWH.A","                Geothermal (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.36-12-NGA-BKWH.A","                Solar, tide, wave, fuel cell (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.021","0.022","0.022","0.024","0.027","0.028","0.028","0.03"
"INTL.117-12-NGA-BKWH.A","                    Tide and wave (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.116-12-NGA-BKWH.A","                    Solar (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.021","0.022","0.022","0.024","0.027","0.028","0.028","0.03"
"INTL.37-12-NGA-BKWH.A","                Wind (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0.002","0.002","0.002","0.003","0.003","0.003","0.003","0.003","0.003"
"INTL.38-12-NGA-BKWH.A","                Biomass and waste (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.013","0.013","0.013","0.013","0.013","0.013","0.013","0.013","0.013","0.013","0.015","0.015","0.015","0.019","0.022","0.022","0.025","0.025","0.02546",""
"INTL.82-12-NGA-BKWH.A","        Hydroelectric pumped storage (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
