,Year,    Generation (billion kWh),        Fossil fuels (billion kWh),        Renewables (billion kWh),            Hydroelectricity (billion kWh),            Non-hydroelectric renewables (billion kWh),"                Solar, tide, wave, fuel cell (billion kWh)",                    Solar (billion kWh),                Wind (billion kWh),                Biomass and waste (billion kWh)
0,1980,6.867000000000001,4.143,2.7239999999999998,2.7239999999999998,0.0,0.0,0.0,0.0,0.0
1,1981,7.84,5.5489999999999995,2.291,2.291,0.0,0.0,0.0,0.0,0.0
2,1982,8.14,5.746,2.394,2.394,0.0,0.0,0.0,0.0,0.0
3,1983,8.283,6.4270000000000005,1.8559999999999999,1.8559999999999999,0.0,0.0,0.0,0.0,0.0
4,1984,8.573,6.004,2.569,2.569,0.0,0.0,0.0,0.0,0.0
5,1985,9.929,6.9510000000000005,2.978,2.978,0.0,0.0,0.0,0.0,0.0
6,1986,11.395999999999999,7.8020000000000005,3.594,3.594,0.0,0.0,0.0,0.0,0.0
7,1987,10.753,7.502000000000001,3.2510000000000003,3.2510000000000003,0.0,0.0,0.0,0.0,0.0
8,1988,11.155,7.187,3.968,3.968,0.0,0.0,0.0,0.0,0.0
9,1989,12.251,8.152000000000001,4.099,4.099,0.0,0.0,0.0,0.0,0.0
10,1990,12.029000000000002,7.686,4.343,4.343,0.0,0.0,0.0,0.0,0.0
11,1991,13.613,7.742000000000001,5.871,5.871,0.0,0.0,0.0,0.0,0.0
12,1992,14.247,8.249,5.997999999999999,5.997999999999999,0.0,0.0,0.0,0.0,0.0
13,1993,13.913,8.397,5.516,5.516,0.0,0.0,0.0,0.0,0.0
14,1994,14.877,9.371,5.506,5.506,0.0,0.0,0.0,0.0,0.0
15,1995,13.889000000000001,8.443999999999999,5.445,5.445,0.0,0.0,0.0,0.0,0.0
16,1996,14.367,8.922,5.445,5.445,0.0,0.0,0.0,0.0,0.0
17,1997,14.697000000000001,9.16,5.537000000000001,5.537000000000001,0.0,0.0,0.0,0.0,0.0
18,1998,14.73,9.013,5.7170000000000005,5.7170000000000005,0.0,0.0,0.0,0.0,0.0
19,1999,15.432,9.344,6.087999999999999,6.087999999999999,0.0,0.0,0.0,0.0,0.0
20,2000,14.144,8.445,5.699,5.686,0.013000000000000001,0.0,0.0,0.0,0.013000000000000001
21,2001,14.844000000000001,8.981,5.8629999999999995,5.85,0.013000000000000001,0.0,0.0,0.0,0.013000000000000001
22,2002,20.676,12.511,8.165,8.152000000000001,0.013000000000000001,0.0,0.0,0.0,0.013000000000000001
23,2003,19.358,11.970999999999998,7.3870000000000005,7.374,0.013000000000000001,0.0,0.0,0.0,0.013000000000000001
24,2004,23.237,15.197000000000001,8.04,8.027000000000001,0.013000000000000001,0.0,0.0,0.0,0.013000000000000001
25,2005,22.528000000000002,14.825,7.702999999999999,7.69,0.013000000000000001,0.0,0.0,0.0,0.013000000000000001
26,2006,22.049,15.835999999999999,6.212999999999999,6.2,0.013000000000000001,0.0,0.0,0.0,0.013000000000000001
27,2007,21.923939999999998,15.74594,6.178,6.165,0.013000000000000001,0.0,0.0,0.0,0.013000000000000001
28,2008,20.14266,14.46566,5.6770000000000005,5.664,0.013000000000000001,0.0,0.0,0.0,0.013000000000000001
29,2009,18.83012,14.333120000000001,4.497,4.484,0.013000000000000001,0.0,0.0,0.0,0.013000000000000001
30,2010,24.88918,18.562179999999998,6.327000000000001,6.31,0.017,0.0,0.0,0.002,0.015
31,2011,25.722939999999998,19.88194,5.841,5.824,0.017,0.0,0.0,0.002,0.015
32,2012,27.30418,21.664179999999998,5.64,5.602,0.038,0.021,0.021,0.002,0.015
33,2013,27.45958,22.14358,5.316,5.273,0.043,0.022000000000000002,0.022000000000000002,0.002,0.019
34,2014,30.6119,25.2719,5.34,5.292999999999999,0.047,0.022000000000000002,0.022000000000000002,0.003,0.022000000000000002
35,2015,30.80797,25.09518,5.71279,5.6637900000000005,0.049,0.024,0.024,0.003,0.022000000000000002
36,2016,32.00801,23.88352,8.12449,8.06949,0.055,0.027000000000000003,0.027000000000000003,0.003,0.025
37,2017,32.79439,25.06886,7.72553,7.66953,0.055999999999999994,0.027999999999999997,0.027999999999999997,0.003,0.025
38,2018,34.45342,28.00354,6.44988,6.39342,0.05646,0.027999999999999997,0.027999999999999997,0.003,0.02546
39,2019,,,,,,0.03,0.03,0.003,
