,Year,electricity_net_consumption_(billion KWh)
0,1980,4.685
1,1981,5.685
2,1982,5.949
3,1983,6.061
4,1984,6.044
5,1985,6.446000000000001
6,1986,8.325
7,1987,7.251
8,1988,7.278
9,1989,8.345
10,1990,8.027000000000001
11,1991,8.189
12,1992,8.425
13,1993,8.273
14,1994,7.996
15,1995,7.9079999999999995
16,1996,7.631
17,1997,7.8839999999999995
18,1998,8.554
19,1999,8.36
20,2000,11.177
21,2001,11.727
22,2002,16.337
23,2003,15.280999999999999
24,2004,18.362000000000002
25,2005,17.82
26,2006,17.427
27,2007,18.47694
28,2008,16.97566
29,2009,15.86312
30,2010,20.97118
31,2011,21.667939999999998
32,2012,22.998179999999998
33,2013,23.12358
34,2014,25.7739
35,2015,25.94197
36,2016,26.97001
37,2017,27.627390000000002
38,2018,29.01142
