,NAME_2,Average Nighttime mean,system:index,AREA,state,Latitude,Longitude,PERIMETER,Population,statecode,Population Density,Night Light Class
0,Aba North,3.422659343,698,18.116,Abia,5.100754338,7.35961746,31.927,245825.278,BE,13569.51192,28.57227675
1,Aba South,1.949728226,699,51.131,Abia,5.071438184,7.341737236,29.855,380211.9108,BE,7436.035102,28.57227675
8,Oboma Ngwa,0.797231575,685,374.566,Abia,5.127125924,7.455779945,92.194,463748.4541,BE,1238.095433,28.57227675
10,Osisioma Ngwa,0.759793082,684,192.718,Abia,5.177648891,7.319388523,67.527,558677.8389,BE,2898.939585,28.57227675
13,Ukwa West,0.959377897,702,293.335,Abia,4.954009236,7.239266452,73.3,106842.7926,BE,364.2347234,28.57227675
14,Umuahia North,0.65489554,655,231.14,Abia,5.557996042,7.468691652,74.446,308068.8085,BE,1332.823434,28.57227675
18,Municipal Area Council,3.062904556,314,1585.32,Abuja,8.955237074,7.349282513,206.501,1913131.592,BE,1206.779446,28.57227675
19,Bwari,1.679154988,300,818.909,Abuja,9.20786352,7.429934191,153.605,728784.3978,BE,889.9455224,28.57227675
42,Yola North,0.58375873,302,139.997,Adamawa,9.251618228,12.52006908,50.841,206303.3767,OS,1473.627126,28.57227675
46,Eket,2.721918416,738,189.114,Akwa Ibom,4.628249078,7.942930075,64.858,231350.8815,OS,1223.34085,28.57227675
47,Esit Eket,2.016389527,741,139.599,Akwa Ibom,4.63339369,8.067647956,48.16,53616.3324,OS,384.0739002,28.57227675
51,Ibeno,28.57227675,746,213.383,Akwa Ibom,4.562158435,8.101790693,118.972,44222.9481,OS,207.2468196,28.57227675
52,Ibesikpo Asutan,0.377408048,712,175.745,Akwa Ibom,4.911515322,7.940851365,58.348,202048.984,OS,1149.671308,28.57227675
59,Itu,0.558307875,688,255.877,Akwa Ibom,5.148023311,7.978690337,79.634,141059.5835,IM,551.2788703,28.57227675
60,Mbo,0.436601029,734,231.496,Akwa Ibom,4.646743486,8.240818505,72.887,69092.5893,IM,298.4612663,28.57227675
67,Onna,0.608465127,739,151.591,Akwa Ibom,4.615966734,7.848686869,60.525,69201.6557,IM,456.5024025,28.57227675
74,Uyo,2.214396498,704,188.375,Akwa Ibom,5.005173783,7.898351423,97.473,542051.0411,IM,2877.510504,28.57227675
76,Anambra East,0.370568918,575,380.294,Anambra,6.298195667,6.857310435,97.287,102936.7594,IM,270.6767906,28.57227675
80,Awka South,0.971216758,596,171.447,Anambra,6.177681443,7.061528258,55.585,243014.3155,DE,1417.431133,28.57227675
82,Dunukofia,0.44490345,591,58.595,Anambra,6.222779447,6.936867761,48.573,76836.4904,DE,1311.314795,28.57227675
83,Ekwusigo,0.51273581,611,107.371,Anambra,5.989851887,6.824937001,50.143,247284.6498,DE,2303.086027,28.57227675
84,Idemili North,1.330278063,603,87.655,Anambra,6.106388594,6.883223364,45.71,575468.8109,DE,6565.156704,28.57227675
85,Idemili South,0.697344461,608,111.133,Anambra,6.058429623,6.878222239,59.047,241855.6171,DE,2176.271828,28.57227675
87,Njikoka,0.569081898,597,94.111,Anambra,6.173702942,6.966262209,47.434,192143.9473,DE,2041.673633,28.57227675
88,Nnewi North,0.908528456,612,64.805,Anambra,5.988821657,6.884558206,38.631,221114.916,DE,3412.00395,28.57227675
90,Ogbaru,0.519564873,610,398.903,Anambra,5.854825812,6.722517553,102.653,160155.3636,DE,401.4894939,28.57227675
91,Onitsha North,3.147911307,605,28.143,Anambra,6.110008079,6.784489526,23.46,202210.3353,DE,7185.102345,28.57227675
92,Onitsha South,0.589433046,607,17.16,Anambra,6.077638522,6.754701648,16.732,84706.0179,DE,4936.248129,28.57227675
95,Oyi,0.943519845,590,131.681,Anambra,6.193537183,6.87294348,57.057,254355.5521,DE,1931.604044,28.57227675
116,Brass,2.413668445,733,1913.948,Bayelsa,4.457937412,6.382969789,330.64,55998.3922,AB,29.25805309,28.57227675
117,Ekeremor,1.057892503,696,1866.706,Bayelsa,4.946600447,5.690094081,217.528,102513.8792,AB,54.91699239,28.57227675
118,Kolokuma-Opokuma,0.760767173,692,444.124,Bayelsa,5.08284065,6.266153951,104.426,48605.1011,AB,109.440384,28.57227675
119,Nembe,10.69227345,742,940.308,Bayelsa,4.50931175,6.346443632,142.85,32004.9445,AB,34.03666086,28.57227675
120,Ogbia,1.336557527,715,753.329,Bayelsa,4.74924154,6.32063752,144.208,154405.6104,AB,204.9643786,28.57227675
122,Southern Ijaw,0.852713931,708,2639.512,Bayelsa,4.669055961,5.922694051,278.181,136499.6541,RI,51.71397368,28.57227675
123,Yenegoa,3.989982477,678,747.564,Bayelsa,5.080931831,6.386172758,203.642,466191.9304,RI,623.6147412,28.57227675
136,Makurdi,0.375856444,407,837.854,Benue,7.704199152,8.535874668,108.515,484382.0264,RI,578.1222342,28.57227675
167,Maiduguri,1.014361032,148,131.23,Borno,11.85275147,13.19961504,54.355,635562.262,TA,4843.117138,28.57227675
181,Calabar Municipal,1.959756607,705,159.688,Cross River,4.995681936,8.315485437,62.032,116264.7902,CR,728.0746844,28.57227675
197,Ethiope West,0.703103922,613,545.782,Delta,5.919964022,5.729387148,121.195,217226.3796,NI,398.0094243,28.57227675
200,Isoko North,0.844770538,770,485.467,Delta,5.524930792,6.23413937,169.369,144938.9699,NI,298.5557616,28.57227675
202,Ndokwa East,7.239749161,619,1715.942,Delta,5.670289079,6.507709107,268.931,63546.1978,NI,37.03283549,28.57227675
203,Ndokwa West,6.084256737,618,862.988,Delta,5.802950085,6.335875143,183.581,172683.9772,NI,200.1000908,28.57227675
204,Okpe,0.443623346,641,438.128,Delta,5.681358951,5.781110429,113.865,100075.3753,NI,228.4158403,28.57227675
206,Oshimili South,0.690527704,595,307.892,Delta,6.09213037,6.681719138,101.388,197977.6817,NI,643.0101519,28.57227675
208,Sapele,2.59592938,627,434.734,Delta,5.825781711,5.642623414,103.379,234314.3093,NI,538.9831697,28.57227675
209,Udu,5.323072439,665,135.533,Delta,5.472215179,5.822032182,53.028,200128.0998,NI,1476.600531,28.57227675
210,Ughelli North,1.263589689,646,822.466,Delta,5.511216915,6.048206155,223.999,316911.4894,NI,385.3186507,28.57227675
211,Ughelli South,2.551891865,663,782.897,Delta,5.340625533,5.893230876,245.817,130100.252,NI,166.1779928,28.57227675
212,Ukwuani,8.689126524,624,416.726,Delta,5.844808328,6.237414418,90.142,112091.4528,NI,268.9811838,28.57227675
213,Uvwie,4.695164342,658,99.771,Delta,5.571573599,5.776016265,52.264,219953.1106,NI,2204.579593,28.57227675
214,Warri North,0.584901025,606,1746.102,Delta,5.879112106,5.252769135,252.816,35259.6832,NI,20.19336969,28.57227675
215,Warri South,1.596521839,640,579.727,Delta,5.613793944,5.607036004,136.014,235394.9836,NI,406.044541,28.57227675
216,Warri South-West,2.05012709,638,1677.985,Delta,5.571430178,5.409900336,232.485,7330.4822,NI,4.368622008,28.57227675
231,Egor,1.058845885,580,107.951,Edo,6.349095537,5.555675851,47.072,545306.6287,,5051.427302,28.57227675
240,Ikpoba-Okha,1.144924316,581,840.84,Edo,6.164446808,5.622840125,162.369,826000.1532,AK,982.3511645,28.57227675
241,Oredo,0.817090553,586,262.469,Edo,6.213638973,5.523658739,82.168,495685.3049,AK,1888.548,28.57227675
242,Orhionmwon,1.585779594,582,2314.122,Edo,6.051644949,5.975670493,264.797,142292.2916,AK,61.48867329,28.57227675
243,Ovia North-East,0.635410104,527,2369.425,Edo,6.480107187,5.506323442,345.447,238742.5167,AK,100.759685,28.57227675
266,Enugu East,0.57383655,555,331.351,Enugu,6.548962616,7.539074218,74.022,328431.374,KO,991.1887213,28.57227675
267,Enugu North,3.462541079,573,158.204,Enugu,6.447309197,7.537338407,65.198,265167.8108,KO,1676.113188,28.57227675
268,Enugu South,1.895001462,578,70.528,Enugu,6.39608161,7.506341278,40.353,203455.5005,KO,2884.747909,28.57227675
275,Nkanu West,0.462025449,579,275.984,Enugu,6.310981374,7.50901851,74.576,96747.5779,KO,350.5550246,28.57227675
302,Mbatoli,0.494737345,657,191.677,Imo,5.589524335,7.039378628,64.363,370473.7565,PL,1932.802352,28.57227675
308,Oguta,5.645851799,645,480.132,Imo,5.658026487,6.812349004,100.352,140054.3646,LA,291.6997088,28.57227675
309,Ohaji-Egbema,1.252819794,659,1151.802,Imo,5.402373934,6.824514409,166.39,331298.7712,LA,287.6351762,28.57227675
315,Owerri Municipal,3.289780336,671,34.244,Imo,5.478296435,7.034816831,23.8,276963.3949,LA,8087.939344,28.57227675
316,Owerri North,0.584623202,667,198.882,Imo,5.441537986,7.09805806,73.423,395069.9085,LA,1986.453819,28.57227675
317,Owerri West,0.505195252,664,304.436,Imo,5.432261558,6.980410316,90.073,358703.3373,LA,1178.255322,28.57227675
331,Hadejia,1.192634072,88,47.431,Jigawa,12.4271236,10.03112204,27.137,104526.0674,ON,2203.750024,28.57227675
