,NAME_2,Average Nighttime mean,system:index,AREA,state,Latitude,Longitude,PERIMETER,Population,statecode,Population Density,Night Light Class
24,Fufore,-0.004980624,276,4270.342,Adamawa,9.166311153,12.63841247,433.228,239979.6884,OS,56.19683117,0.003651917
25,Ganye,-0.006360987,343,1834.296,Adamawa,8.414845176,11.9864478,224.221,192931.6416,OS,105.1802117,0.003651917
26,Girie,-0.0119069,244,1865.627,Adamawa,10.18686968,12.64760147,194.495,181186.8923,OS,97.11849812,0.003651917
28,Guyuk,-0.003953803,264,699.835,Adamawa,9.82368663,11.99835965,130.547,136843.6889,OS,195.537075,0.003651917
29,Hong,-0.009042694,239,2732.219,Adamawa,10.30344733,13.02889157,220.773,231758.0337,OS,84.82410586,0.003651917
30,Jada,-0.000657,334,1776.035,Adamawa,8.668160919,12.41448062,226.688,197998.8036,OS,111.4836158,0.003651917
32,Madagali,-0.003766043,221,498.673,Adamawa,10.83897145,13.54326112,97.89,128574.8406,OS,257.8339726,0.003651917
33,Maiha,-0.017190038,254,530.763,Adamawa,9.887456793,13.22483752,161.644,94183.1496,OS,177.4485968,0.003651917
34,Mayo-Belwa,-0.006342652,310,2175.744,Adamawa,8.867928043,12.05996265,279.185,197334.9529,OS,90.69768911,0.003651917
35,Michika,-0.0189067,225,689.417,Adamawa,10.60764886,13.45078284,116.98,158182.441,OS,229.4437779,0.003651917
36,Mubi North,0.001949576,243,687.937,Adamawa,10.32686924,13.38032452,126.823,180307.1535,OS,262.0983513,0.003651917
37,Mubi South,-0.017975349,252,185.577,Adamawa,10.19038018,13.39325654,57.961,170740.0858,OS,920.0498219,0.003651917
39,Shelleng,-0.018019296,249,1605.411,Adamawa,9.922920132,12.22929807,202.623,121762.492,OS,75.84505899,0.003651917
40,Song,-0.013663465,263,4324.615,Adamawa,9.811197199,12.73161841,321.632,239863.3654,OS,55.46467498,0.003651917
41,Toungo,-0.006275245,358,4627.869,Adamawa,8.001850471,11.85056626,340.831,49834.2979,OS,10.76830349,0.003651917
96,Alkaleri,-0.012105507,250,6133.911,Bauchi,9.857096466,10.51548187,387.282,362218.7402,DE,59.05184151,0.003651917
98,Bogoro,-0.010802112,277,653.946,Bauchi,9.63070195,9.607500311,107.026,73421.4601,DE,112.2744999,0.003651917
100,Darazo,-0.002040799,196,2498.174,Bauchi,11.13608991,10.62480832,277.019,374451.2703,DE,149.8899878,0.003651917
101,Dass,-0.008027794,259,528.632,Bauchi,9.997326957,9.477049953,95.753,68763.5707,DE,130.0783356,0.003651917
103,Ganjuwa,-0.017366991,215,5305.348,Bauchi,10.73273513,10.02398979,371.544,492864.8898,DE,92.89963444,0.003651917
104,Giade,0.001089729,182,656.404,Bauchi,11.38637711,10.25704036,132.978,194222.8249,DE,295.889155,0.003651917
108,Kirfi,-0.009044492,230,2526.468,Bauchi,10.40618407,10.5701701,203.789,169863.8847,AB,67.23373686,0.003651917
110,Ningi,-0.005676119,202,5194.948,Bauchi,11.02346261,9.209002617,296.504,402363.3813,AB,77.45282172,0.003651917
111,Shira,-0.003260689,181,908.407,Bauchi,11.42629799,10.08963259,127.18,301452.7932,AB,331.8477216,0.003651917
112,Tafawa-Balewa,-0.010850502,253,2188.108,Bauchi,9.821817066,9.535744422,308.155,224143.708,AB,102.4372234,0.003651917
113,Toro,-0.004898088,222,7111.208,Bauchi,10.39841051,9.211837228,408.122,427405.9482,AB,60.10314256,0.003651917
114,Warji,0.000166,204,650.683,Bauchi,11.13648212,9.748367342,98.432,100757.2783,AB,154.8484874,0.003651917
115,Zaki,-0.000246,85,1691.28,Bauchi,12.21469196,10.38161947,254.3,258412.4826,AB,152.791071,0.003651917
124,Ado,-0.006755062,513,1046.856,Benue,6.77366186,7.976493576,151.053,97320.3358,RI,92.96439606,0.003651917
125,Agatu,-0.002805334,389,1250.779,Benue,7.854869729,7.906101207,163.301,97127.425,RI,77.65354631,0.003651917
126,Apa,-0.006729207,420,893.602,Benue,7.61159785,7.888079285,118.497,156849.381,RI,175.5248768,0.003651917
129,Guma,-0.002970153,373,2816.251,Benue,7.910057467,8.736229154,264.898,137860.6573,RI,48.95183608,0.003651917
132,Katsina-Ala,-0.008645593,445,2700.759,Benue,7.321699776,9.570645,251.782,411120.5548,RI,152.2240803,0.003651917
133,Konshisha,0.002423673,477,1542.866,Benue,7.029929957,8.660368615,196.88,191629.5787,RI,124.2036435,0.003651917
134,Kwande,-0.00517092,486,3077.589,Benue,6.822015632,9.500928944,299.203,374194.2894,RI,121.5868296,0.003651917
135,Logo,-0.000352,401,1383.538,Benue,7.708541192,9.22626636,185.067,289361.0838,RI,209.1457436,0.003651917
