,NAME_2,Average Nighttime mean,system:index,AREA,state,Latitude,Longitude,PERIMETER,Population,statecode,Population Density,Night Light Class
2,Arochukwu,0.089510468,656,386.125,Abia,5.498930912,7.795863292,133.618,146354.5149,BE,379.0340302,0.3702404
5,Isiala-Ngwa North,0.089842249,677,253.472,Abia,5.370156308,7.406566047,87.648,231792.9538,BE,914.4716332,0.3702404
6,Isiala-Ngwa South,0.185484249,681,261.344,Abia,5.267831539,7.390570499,88.729,267528.7557,BE,1023.665191,0.3702404
11,Ugwunagbo,0.369911881,707,106.283,Abia,5.006283015,7.339427888,51.132,86627.5702,BE,815.0651581,0.3702404
12,Ukwa East,0.148015976,710,246.503,Abia,4.923012669,7.407905229,82.923,67470.8249,BE,273.7119828,0.3702404
15,Umuahia South,0.180776273,670,131.269,Abia,5.462338035,7.439974237,53.22,224345.4052,BE,1709.05092,0.3702404
20,Gwagwalada,0.107655255,307,967.762,Abuja,9.053900363,6.985332176,129.429,522133.3055,BE,539.5265628,0.3702404
43,Yola South,0.171310929,306,370.27,Adamawa,9.157369439,12.59183879,90.685,368752.0384,OS,995.9003927,0.3702404
44,Abak,0.143322189,701,177.485,Akwa Ibom,5.006098356,7.760621548,78.365,161657.0086,OS,910.8206812,0.3702404
45,Eastern Obolo,0.338363098,747,109.034,Akwa Ibom,4.516033702,7.684731485,75.93,19312.3599,OS,177.1223646,0.3702404
48,Essien Udim,0.147469807,697,299.011,Akwa Ibom,5.099093944,7.638979579,81.343,115335.0762,OS,385.7218504,0.3702404
50,Etinan,0.177722975,717,171.492,Akwa Ibom,4.801230423,7.834806511,74.423,78133.4383,OS,455.6098145,0.3702404
53,Ibiono Ibom,0.240101098,680,316.253,Akwa Ibom,5.199930525,7.881162351,98.815,104322.6338,IM,329.8708117,0.3702404
55,Ikono,0.244640878,682,269.755,Akwa Ibom,5.207500248,7.776426684,85.945,116095.6231,IM,430.3743141,0.3702404
56,Ikot Abasi,0.262474626,740,338.5,Akwa Ibom,4.601067506,7.627443291,83.543,124116.7133,IM,366.6668044,0.3702404
57,Ikot Ekpene,0.324239776,689,133.545,Akwa Ibom,5.187059079,7.683819156,51.313,227297.7474,IM,1702.031131,0.3702404
61,Mkpat Enin,0.209349406,722,347.08,Akwa Ibom,4.687933422,7.756467552,117.661,82999.1979,IM,239.1356399,0.3702404
62,Nsit Atai,0.165993676,721,131.734,Akwa Ibom,4.817696341,8.025931651,49.037,46886.9437,IM,355.9213544,0.3702404
63,Nsit Ibom,0.17663915,713,119.971,Akwa Ibom,4.878504208,7.882292912,58.007,55409.4971,IM,461.8574247,0.3702404
64,Nsit Ubium,0.306336106,725,204.246,Akwa Ibom,4.742737273,7.948754842,60.003,88812.3168,IM,434.8301401,0.3702404
65,Obot Akara,0.085942514,683,232.632,Akwa Ibom,5.241882375,7.589776331,69.045,74362.8989,IM,319.6589416,0.3702404
66,Okobo,0.13697183,719,275.251,Akwa Ibom,4.803958622,8.118507664,80.225,61470.6669,IM,223.3258622,0.3702404
