mean,system:index,AREA,LGA,STATE,Latitude,Longitude,PERIMETER
0.010400134,626,331.552,Afikpo South,Ebonyi,5.831682387,7.802751751,89.97
2.59592938,627,434.734,Sapele,Delta,5.825781711,5.642623414,103.379
0.042563712,628,267.045,Okigwe,Imo,5.810877556,7.32558642,80.064
0.054400293,629,186.445,Ideato North,Imo,5.866929768,7.15943157,73.368
0.125718848,630,136.963,Orsu,Imo,5.861484939,6.997592531,49.344
0.163842537,631,222.332,Ihiala,Anambra,5.827074157,6.855384875,67.256
0.195530382,632,129.874,Orlu,Imo,5.797408273,7.058453284,53.244
0.053775774,633,336.384,Isuikwuato,Abia,5.762120208,7.463058765,83.375
0.03161456,634,85.381,Ideato South,Imo,5.790747181,7.155467773,39.54
0.028767037,635,85.708,Unuimo,Imo,5.773626739,7.241101354,40.663
0.076452124,636,603.923,Bende,Abia,5.655239193,7.588170143,141.298
0.214189996,637,92.013,Oru West,Imo,5.742236019,6.91092584,50.475
2.05012709,638,1677.985,Warri South-West,Delta,5.571430178,5.409900336,232.485
0.060667726,639,568.415,Ohafia,Abia,5.656081156,7.77802084,114.317
1.596521839,640,579.727,Warri South,Delta,5.613793944,5.607036004,136.014
0.443623346,641,438.128,Okpe,Delta,5.681358951,5.781110429,113.865
0.208681138,642,143.325,Oru East,Imo,5.705575535,6.960153214,65.903
0.022844805,643,1259.1,Biase,Cross River,5.530616406,8.042000429,160.852
0.029720776,644,5364.582,Akamkpa,Cross River,5.392125027,8.512955944,313.13
5.645851799,645,480.132,Oguta,Imo,5.658026487,6.812349004,100.352
1.263589689,646,822.466,Ughelli North,Delta,5.511216915,6.048206155,223.999
0.112916536,647,39.228,Nkwerre,Imo,5.735041917,7.120756015,28.651
0.204243191,648,80.798,Njaba,Imo,5.700953033,7.026939472,47.548
0.076361705,649,150.433,Ehime-Mbano,Imo,5.664908115,7.303041892,54.315
0.127673201,650,54.933,Nwangele,Imo,5.699012412,7.13679959,34.553
0.096611405,651,183.36,Isiala Mbano,Imo,5.667665288,7.203378758,64.341
13.22123108,652,700.062,Ogba/ Egbema/ Ndoni,Rivers,5.394652183,6.639998913,184.44
0.15513558,653,35.316,Isu,Imo,5.678051135,7.070452713,25.166
0.139053909,654,71.269,Ihitte/Uboma,Imo,5.621824102,7.365254042,44.026
0.65489554,655,231.14,Umuahia  North,Abia,5.557996042,7.468691652,74.446
0.089510468,656,386.125,Arochukwu,Abia,5.498930912,7.795863292,133.618
0.494737345,657,191.677,Mbatoli,Imo,5.589524335,7.039378628,64.363
4.695164342,658,99.771,Uvwie,Delta,5.571573599,5.776016265,52.264
1.252819794,659,1151.802,Ohaji /Egbema,Imo,5.402373934,6.824514409,166.39
0.22380449,660,179.608,Ikeduru,Imo,5.550246189,7.164229734,55.451
0.180510884,661,101.874,Ahiazu-Mbaise,Imo,5.546393699,7.271346947,43.628
0.285748634,662,75.792,Obowo,Imo,5.54926542,7.360098201,35.881
2.551891865,663,782.897,Ughelli South,Delta,5.340625533,5.893230876,245.817
0.505195252,664,304.436,Owerri West,Imo,5.432261558,6.980410316,90.073
5.323072439,665,135.533,Udu,Delta,5.472215179,5.822032182,53.028
0.361931511,666,681.18,Isoko South,Delta,5.382090524,6.214173356,135.47
0.584623202,667,198.882,Owerri North,Imo,5.441537986,7.09805806,73.423
0.115274221,668,98.884,Ezinihitte Mbaise,Imo,5.464619314,7.326616321,41.875
0.050369954,669,473.182,Ini,Akwa Ibom,5.397681646,7.734272512,101.17
0.180776273,670,131.269,Umuahia South,Abia,5.462338035,7.439974237,53.22
3.289780336,671,34.244,Owerri Municipal,Imo,5.478296435,7.034816831,23.8
0.055515601,672,1120.03,Odukpani,Cross River,5.156636617,8.121019059,225.605
0.154241151,673,167.423,Aboh-Mbaise,Imo,5.425494184,7.25180357,71.728
0.066904772,674,237.941,Ikwuano,Abia,5.384023822,7.56831668,78.189
0.13905414,675,1826.651,Burutu,Delta,5.234538472,5.589717721,300.455
0.092989089,676,606.508,Ngor-Okpala,Imo,5.289260168,7.150182266,110.507
0.089842249,677,253.472,Isiala Ngwa North,Abia,5.370156308,7.406566047,87.648
3.989982477,678,747.564,Yenegoa,Bayelsa,5.080931831,6.386172758,203.642
0.318002039,679,894.395,Sagbama,Bayelsa,5.112981541,6.183005503,252.89
0.240101098,680,316.253,Ibiono Ibom,Akwa Ibom,5.199930525,7.881162351,98.815
0.185484249,681,261.344,Isiala Ngwa South,Abia,5.267831539,7.390570499,88.729
0.244640878,682,269.755,Ikono,Akwa Ibom,5.207500248,7.776426684,85.945
0.085942514,683,232.632,Obot Akara,Akwa Ibom,5.241882375,7.589776331,69.045
0.759793082,684,192.718,Osisioma Ngwa,Abia,5.177648891,7.319388523,67.527
0.797231575,685,374.566,Oboma Ngwa,Abia,5.127125924,7.455779945,92.194
0.126787441,686,211.025,Patani,Delta,5.180555001,6.1001111,95.384
0.660556368,687,762.646,Emuoha,Rivers,4.989697187,6.751652139,161.086
0.558307875,688,255.877,Itu,Akwa Ibom,5.148023311,7.978690337,79.634
0.324239776,689,133.545,Ikot Ekpene,Akwa Ibom,5.187059079,7.683819156,51.313
0.731387825,690,673.248,Ikwerre,Rivers,5.026760285,6.884054618,117.63
12.58286894,691,440.862,Ahoada West,Rivers,5.051759562,6.500536066,115.787
0.760767173,692,444.124,Kolokuma/Opokuma,Bayelsa,5.08284065,6.266153951,104.426
1.451075095,693,354.096,Ahoada East,Rivers,5.058531371,6.618620875,114.092
0.959395849,694,568.879,Etche,Rivers,5.062704893,7.049993574,121.1
0.22457231,695,302.128,Omumma,Rivers,5.093642615,7.184540416,72.275
1.057892503,696,1866.706,Ekeremor,Bayelsa,4.946600447,5.690094081,217.528
0.147469807,697,299.011,Essien Udim,Akwa Ibom,5.099093944,7.638979579,81.343
3.422659343,698,18.116,Aba North,Abia,5.100754338,7.35961746,31.927
1.949728226,699,51.131,Aba South,Abia,5.071438184,7.341737236,29.855
0.325948581,700,291.551,Uruan,Akwa Ibom,4.983042047,8.042332121,89.334
0.143322189,701,177.485,Abak,Akwa Ibom,5.006098356,7.760621548,78.365
0.959377897,702,293.335,Ukwa West,Abia,4.954009236,7.239266452,73.3
0.235302567,703,788.467,Akpabuyo,Cross River,4.894734498,8.460709596,160.101
2.214396498,704,188.375,Uyo,Akwa Ibom,5.005173783,7.898351423,97.473
1.959756607,705,159.688,Calabar Municipal,Cross River,4.995681936,8.315485437,62.032
0.067295457,706,130.881,Ika,Akwa Ibom,5.001235389,7.525873153,54.515
0.369911881,707,106.283,Ugwunagbo,Abia,5.006283015,7.339427888,51.132
0.852713931,708,2639.512,Southern Ijaw,Bayelsa,4.669055961,5.922694051,278.181
0.045941016,709,193.536,Etim Ekpo,Akwa Ibom,4.960886861,7.590374259,74.743
0.148015976,710,246.503,Ukwa East,Abia,4.923012669,7.407905229,82.923
0.04962264,711,279.592,Ukanafun,Akwa Ibom,4.879845413,7.598512292,89.558
0.377408048,712,175.745,Ibesikpo Asutan,Akwa Ibom,4.911515322,7.940851365,58.348
0.17663915,713,119.971,Nsit Ibom,Akwa Ibom,4.878504208,7.882292912,58.007
0.262500319,714,673.838,Abua /Odual,Rivers,4.828550351,6.549153939,140.8
1.336557527,715,753.329,Ogbia,Bayelsa,4.74924154,6.32063752,144.208
0.059491336,716,470.35,Oruk Anam,Akwa Ibom,4.795128064,7.655561094,102.778
0.177722975,717,171.492,Etinan,Akwa Ibom,4.801230423,7.834806511,74.423
5.919052041,718,280.085,Obio/Akpor,Rivers,4.849349351,7.001763658,83.299
0.13697183,719,275.251,Okobo,Akwa Ibom,4.803958622,8.118507664,80.225
1.956087369,720,342.323,Oyigbo,Rivers,4.835780771,7.288896017,107.718
0.165993676,721,131.734,Nsit Atai,Akwa Ibom,4.817696341,8.025931651,49.037
0.209349406,722,347.08,Mkpat Enin,Akwa Ibom,4.687933422,7.756467552,117.661
8.526271582,723,1023.248,Degema,Rivers,4.573433736,6.901457633,223.875
2.536140166,724,125.84,Eleme,Rivers,4.768227872,7.165329347,46.559
