OID,NAME,MIN,MAX,MEAN(mm)
0,Lere,1326.26669,1475.205139,1397.967271
1,Zaria,1089.454641,1285.3735,1201.544454
2,Zangon Kataf,1432.51512,1769.44285,1616.447151
3,Birnin Gwari,1046.023398,1450.036065,1283.95519
4,Sanga,1315.388873,1593.535674,1413.314188
5,Sabon Gari,1046.599289,1210.212358,1102.124699
6,Giwa,1049.418211,1345.787098,1167.561841
7,Kajuru,1358.267262,1538.491997,1465.162176
8,Igabi,1208.879168,1532.073565,1352.141055
9,Ikara,976.409635,1219.617269,1105.892586
10,Jaba,1560.940102,1805.624559,1718.320698
11,Kaduna North,1301.543313,1366.10842,1325.733277
12,Kachia,1594.401342,1807.277486,1718.889
13,Soba,1063.686138,1480.495702,1305.55032
14,Chikun,1340.650327,1683.211236,1465.312285
15,Makarfi,1005.462285,1120.349173,1066.4379
16,Kaduna South,1301.543313,1391.018225,1356.144507
17,Jema'a,1379.945876,1752.217571,1528.900037
18,Kudan,1039.924139,1108.872087,1055.205757
19,Kauru,1490.778938,1707.225747,1564.161903
20,Kagarko,1501.979542,1807.277486,1697.243912
21,Kaura,1428.282387,1709.717309,1544.719236
22,Kubau,1120.058047,1493.528362,1369.821148
23,Yola North,881.577035,1104.121429,951.138979
24,Shelleng,857.399136,1008.602591,936.246438
25,Song,872.729536,1071.106197,982.519262
26,Toungo,1408.707589,2318.435465,1
27,Yola South,883.241879,969.726498,913.009294
28,Jada,1174.156193,1454.65916,1
29,Michika,854.992371,1017.729288,1
30,Numan,874.123387,989.117511,903.105548
31,Lamurde,854.247906,994.769467,900.78286
32,Hong,914.767025,1145.996144,1039.731258
33,Guyuk,857.399136,985.661649,899.632976
34,Fufore,902.099264,1335.858898,1
35,Ganye,1299.941902,1754.656918,1
36,Gombi,869.917297,967.583034,897.643598
37,Mubi South,951.821728,1116.75382,1037.222925
38,Mubi North,914.380489,1116.75382,964.807024
39,Girei,942.405603,1131.824835,1045.758512
40,Madagali,829.239266,1012.574627,895.700489
41,Mayo Belwa,1021.487996,1640.231513,1225.952131
42,Maiha,943.947692,1116.75382,1
43,Demsa,877.041095,1077.967725,933.946339
44,Mkpat Enin,2817.8964,3569.573956,3126.006206
45,Nsit Ibom,2561.144401,3085.788488,2890.834425
46,Nsit Atai,2950.007669,3415.179186,3142.170519
47,Okobo,3066.757947,3391.124849,3241.608716
48,Nsit Ubium,3029.167105,3415.179186,3283.323149
49,Abak,2547.207276,2820.518898,2647.566615
50,Mbo,3530.388309,3854.922728,1
51,Udung Uko,3437.521966,3702.837083,1
52,Eket,3164.090402,3645.471164,3323.725022
53,Onna,3107.252233,3418.225057,3248.432013
54,Oron,1.797693e+308,-1.797693e+308,1
55,Eastern Obolo,3237.067067,3896.633204,1
56,Oruk Anam,2600.208958,3468.019331,2945.996472
57,Esit Eket,3330.578339,3779.80331,3486.769251
58,Etim Ekpo,2616.620762,2902.077165,2722.950601
59,Etinan,2598.633657,3323.987504,3016.848266
60,Essien Udim,2490.16512,2672.003683,2600.955009
61,Obot Akara,2460.105753,2666.38658,2589.162165
62,Itu,2435.545216,2760.512704,2597.835577
63,Ini,2574.935953,2720.787184,2651.31026
