OID,NAME,MIN,MAX,MEAN(mm)
64,Ikot Ekpene,2490.16512,2641.425061,2573.345431
65,Ikot Abasi,3064.266994,3966.969116,3467.989161
66,Ikono,2504.585756,2666.38658,2586.580067
67,Ukanafun,2667.336287,3034.449242,2854.350321
68,Ika,2594.887555,2770.555012,2682.447264
69,Ibiono Ibom,2435.545216,2720.787184,2534.647545
70,Uruan,2542.269063,3230.609519,2922.673551
71,Uyo,1.797693e+308,-1.797693e+308,1
72,Ibeno,3329.611286,3892.452194,1
73,Ibesikpo Asutan,2615.210581,3085.788488,2878.261503
74,Urue Offong/Oruko,3209.048588,3637.763172,3443.676796
75,Ihiala,2215.952221,2444.268646,2303.627725
76,Ogbaru,1899.799407,2625.432983,2311.723707
77,Anaocha,1932.787059,2245.454003,2094.701074
78,Idemili North,1806.360458,2036.139004,1922.037789
79,Oyi,1726.14162,1899.831789,1794.976513
80,Anambra East,1726.223149,1875.785019,1768.947848
81,Onitsha North,1806.360458,1899.799407,1837.478746
82,Orumba South,2230.050721,2347.467094,2294.725855
83,Njikoka,1789.129828,2036.139004,1902.083589
84,Nnewi North,2009.896079,2216.672456,2127.1772
85,Nnewi South,2076.669691,2347.524415,2262.871699
86,Orumba North,2027.780338,2307.487895,2140.247934
87,Ayamelum,1614.053274,1873.447901,1695.453742
88,Aguata,2114.527807,2339.243875,2264.896699
89,Awka South,1779.701395,2055.439984,1943.314024
90,Ekwusigo,2009.896079,2255.3579,2168.361741
91,Idemili South,1941.876421,2203.471092,2058.66884
92,Onitsha South,1899.799407,1899.799407,1899.799407
93,Awka North,1770.92626,1960.764429,1864.672456
94,Anambra West,1633.077017,1875.785019,1732.85855
95,Dunukofia,1726.14162,2036.139004,1809.994635
96,Alkaleri,874.851026,1037.661198,942.356631
97,Bauchi,891.892361,1137.244692,1011.799944
98,Jama'are,765.160723,860.728736,792.891918
99,Misau,694.547301,850.847908,784.067723
100,Itas/Gadau,665.23633,796.651899,744.38458
101,Giade,753.737147,897.404594,834.541061
102,Gamawa,512.349982,747.70577,617.33641
103,Tafawa Balewa,973.558236,1230.124257,1094.100784
104,Ningi,943.037844,1495.296061,1192.230329
105,Damban,654.853818,752.987288,704.657744
106,Shira,789.789763,931.741213,856.985242
107,Warji,930.441666,1067.661254,1010.133187
108,Ganjuwa,844.919944,1193.838347,1037.95113
109,Kirfi,873.711714,986.112168,917.884617
110,Toro,1091.588105,1495.531023,1288.958027
111,Katagum,677.297968,860.320487,758.120813
112,Darazo,727.092866,933.965417,821.329633
113,Bogoro,966.008596,1179.251195,1035.101169
114,Zaki,484.88804,733.488148,595.173785
115,Dass,1055.716281,1240.61102,1168.372113
116,Southern Ijaw,2879.391941,3463.858116,3305.812849
117,Ekeremor,81.957647,3653.069344,3362.79345
118,Kolokuma/Opokuma,3013.987415,3196.560762,3112.058623
119,Yenegoa,2906.48005,3249.582111,3136.742325
120,Sagbama,2830.645321,3302.763913,3085.190984
121,Brass,2395.947116,3787.476619,1
122,Ogbia,3117.47323,3406.7213,3216.014779
123,Nembe,3026.890665,3744.276849,1
124,Bukuru,1265.980128,1685.71203,1428.880295
125,Otukpo,1262.653921,1610.198019,1373.138429
126,Agatu,1246.333755,1473.655759,1339.900387
127,Gboko,1280.982483,1538.118553,1369.402189
128,Okpokwu,1399.905883,1752.601246,1567.059459
129,Gwer East,1255.780028,1487.23685,1344.934696
130,Makurdi,1255.780028,1333.03612,1294.78844
131,Konshisha,1314.580272,1876.98338,1537.276882
132,Tarka,1268.87188,1310.292449,1290.62927
133,Oju,1475.665347,1886.197455,1689.434357
134,Gwer West,1273.641917,1372.649873,1315.859661
135,Ogbadibo,1455.521023,1713.689504,1612.025007
136,Logo,1248.731039,1447.009223,1321.125058
137,Apa,1291.74308,1437.708779,1362.465594
138,Ohimini,1266.928777,1485.356523,1376.11968
139,Katsina Ala,1372.876758,2214.736471,1739.091079
140,Ushongo,1373.469232,2026.871269,1646.134802
141,Ado,1584.363409,1969.905743,1773.367962
142,Obi,1268.367535,1638.484359,1403.670347
143,Kwande,1866.539576,2639.682837,1
144,Ukum,1247.78834,1735.32251,1402.009423
145,Guma,1207.883981,1303.70967,1256.874992
146,Vandeikya,1621.251976,2112.698992,1876.256591
147,Damboa,665.217193,914.501086,805.139145
148,Kwaya Kusar,845.693585,1060.782995,953.975996
149,Gubio,347.160814,535.747359,444.096324
150,Konduga,495.821867,807.379877,603.521688
151,Marte,392.67864,566.463636,515.734358
152,Maiduguri,493.701973,512.138483,504.21308
153,Biu,778.921773,1042.069276,915.934104
154,Kaga,561.569428,745.136297,635.292507
155,Bama,551.719569,791.445286,1
156,Abadam,197.910887,363.210023,1
157,Bayo,794.010865,938.483859,869.292541
158,Dikwa,521.684123,614.704812,549.708776
159,Jere,493.4717,548.739225,514.175779
160,Mafa,489.013463,568.407641,534.497778
161,Chibok,831.870619,949.268051,882.945965
162,Shani,877.374628,1013.77616,943.422918
163,Kukawa,218.892276,460.061055,320.120937
164,Magumeri,472.550984,616.713794,553.303939
165,Hawul,942.405603,1070.123473,1001.836926
166,Gwoza,656.954384,982.451094,1
167,Kala/Balge,495.873358,634.070298,557.615238
168,Ngala,497.235533,568.436844,528.157364
169,Nganzai,404.649337,535.747359,464.596521
170,Monguno,320.076599,558.845115,472.824925
171,Mobbar,249.638663,427.119181,330.367683
172,Askira/Uba,838.253789,1013.578982,916.064629
173,Guzamala,317.696579,474.776367,405.68724
174,Calabar South,2901.862323,3607.194708,1
175,Yakurr,2227.26627,2886.964715,2488.074052
176,Calabar Municipal,2860.585468,3049.03869,2928.762409
177,Akpabuyo,2927.659621,4202.831871,1
178,Obubra,2108.902499,2760.353947,2338.767
179,Abi,2078.729535,2345.041491,2218.41499
180,Yala,1657.651596,2181.912591,1915.599962
181,Bakassi,1.797693e+308,-1.797693e+308,1
182,Boki,2083.126644,2959.268787,1
183,Akamkpa,2590.888111,3545.313524,1
184,Ogoja,1922.802147,2379.263902,2155.050447
185,Bekwarra,1876.98338,2194.457641,2044.845934
186,Obudu,1989.571331,2463.831412,2224.943906
187,Biase,2210.464999,2949.457334,2712.916234
188,Etung,2615.840578,2952.034549,2799.675072
189,Odukpani,2531.833769,3300.689342,1
190,Ikom,2143.392406,2852.46311,2447.313751
191,Obanliku,2062.600106,2697.080537,1
192,Ndokwa West,2080.22586,2608.332215,2300.609245
193,Sapele,2168.160469,2509.223271,2375.884382
194,Aniocha North,1725.569422,1955.804705,1813.260803
195,Oshimili South,1647.398763,2283.806767,2003.533133
196,Warri South West,125.105004,3244.279522,1
197,Aniocha South,1733.425082,2258.996847,1976.866151
198,Patani,2970.447767,3164.808476,3040.839361
199,Warri South,2279.587311,2898.736313,1
200,Ukwuani,2191.788236,2439.638279,2343.333439
201,Ndokwa East,2138.439901,2952.262723,2563.66663
202,Ughelli South,2556.329631,3217.216733,2922.658886
203,Ughelli North,2202.813136,3005.076818,2586.076482
204,Udu,2627.523443,3021.120532,2759.968444
205,Ethiope East,2202.813136,2596.705932,2435.641259
206,Ethiope West,2096.034094,2465.225134,2229.311484
207,Okpe,2325.411274,2669.239504,2556.2109
208,Bomadi,2968.10264,3217.216733,3093.274695
209,Oshimili North,1647.398763,1954.19307,1762.314356
210,Burutu,108.317736,3664.346525,1
211,Warri North,888.257727,2486.305071,1
212,Uvwie,2538.781004,2668.552059,2621.387064
213,Isoko North,2311.823163,2835.333004,2504.751652
214,Ika North East,1747.486268,2023.777209,1878.422433
215,Isoko South,2483.512515,3023.448195,2744.84223
216,Ika South,1721.537716,2110.321482,1898.617628
217,Ezza South,2132.086001,2212.527036,2165.595884
218,Ivo,2254.077268,2432.437512,2312.12082
219,Ezza North,2097.89791,2213.763943,2158.43009
220,Ebonyi,1780.678163,2208.636551,2015.483741
221,Ikwo,2048.553423,2278.393598,2171.610505
222,Ishielu,1881.409675,2139.984606,1995.425787
223,Ohaukwu,1785.306233,2208.636551,1967.243062
224,Ohaozara,2147.807783,2314.094875,2206.295053
225,Izzi,1759.502059,2161.403872,2005.971712
226,Abakaliki,2048.553423,2213.763943,2129.11852
227,Afikpo North,2015.456763,2330.850991,2108.937779
228,Afikpo South,2056.057649,2516.416075,2256.945518
229,Onicha,2123.032337,2200.618531,2165.6421
230,Ikpoba Okha,1813.755661,2214.827761,1999.949823
231,Etsako West,1311.488539,1696.037695,1489.802514
232,Etsako East,1176.751391,1539.903105,1341.725803
233,Akoko Edo,1252.489011,1478.352801,1381.306137
234,Esan South East,1628.846026,1841.566348,1717.632639
235,Egor,1825.620261,2099.70623,1945.994029
236,Oredo,1825.620261,2136.406742,2007.539679
237,Orhionmwon,1721.537716,2398.51701,2068.577278
238,Etsako Central,1296.956116,1718.95434,1483.480015
239,Uhunmwonde,1693.135287,1973.829956,1845.555778
240,Esan Central,1659.083243,1830.985498,1735.211275
241,Esan West,1604.649587,1895.424962,1759.835537
242,Esan North East,1585.465648,1723.351343,1675.041994
243,Owan West,1493.375074,1829.348369,1656.64008
244,Iguegben,1704.724113,1883.094628,1785.607681
245,Owan East,1286.638673,1766.349778,1471.52648
246,Ovia South West,1734.013114,2239.822614,1989.916939
247,Ovia North East,1695.582383,2297.627595,1960.308752
248,Oye,1440.982587,1557.600543,1502.854057
249,Ikole,1402.35716,1587.356952,1522.748307
250,Ikere,1308.151942,1470.483933,1357.802335
251,Ido Osi,1402.756893,1511.760865,1460.592423
252,Ijero,1413.142386,1558.546007,1487.500788
253,Ise/Orun,1357.199756,1543.909728,1484.92439
254,Irepodun/Ifelodun,1321.11684,1498.286561,1402.177686
255,Ekiti South West,1348.660133,1544.960936,1451.443047
256,Ekiti East,1488.647887,1640.846405,1575.96142
257,Ado Ekiti,1217.220079,1448.906523,1353.594761
258,Emure,1405.289461,1524.069413,1488.056384
259,Ilejemeje,1436.149783,1511.760865,1484.438519
260,Ekiti West,1389.678195,1511.16219,1465.382773
261,Gbonyin,1400.538618,1576.118172,1502.467008
262,Efon,1436.956242,1511.150589,1466.396312
263,Moba,1420.615655,1568.389422,1469.858578
264,Isi Uzo,1674.532724,1886.734709,1772.273512
265,Enugu East,1817.458677,2004.923163,1894.692356
266,Udi,1687.68157,2135.071801,1924.154542
267,Igbo Eze South,1517.530475,1672.974657,1573.475974
268,Nsukka,1489.145729,1752.306709,1640.870424
269,Enugu North,1834.809943,1950.499834,1895.36798
270,Udenu,1646.78351,1727.951108,1683.156817
271,Igbo Eze North,1432.47485,1711.196068,1599.265729
272,Aninri,2107.363871,2321.937043,2217.990503
273,Igbo Etiti,1598.541021,1910.646571,1798.282818
274,Enugu South,1834.809943,1984.101861,1904.467547
275,Ezeagu,1761.123513,2135.071801,1912.753551
276,Uzo Uwani,1596.833283,1866.951568,1696.769318
277,Awgu,1984.960314,2384.358776,2212.692359
278,Oji River,1921.434052,2384.358776,2161.619641
279,Nkanu East,1876.255878,2203.805975,2053.452609
280,Nkanu West,1932.115665,2107.363871,2012.169896
281,Kwali,1324.299952,1508.654119,1408.632621
282,Municipal Area Council,1320.116296,1567.261654,1455.278899
283,Bwari,1482.206158,1702.239973,1565.893675
284,Abaji,1324.299952,1483.302634,1402.67033
285,Kuje,1296.863755,1508.654119,1397.208114
286,Gwagwalada,1390.158985,1497.972417,1437.245856
287,Akko,895.991044,1033.498321,971.91798
288,Bajoga,742.705511,899.922208,799.760651
289,Shogom,914.261832,1108.047383,1017.486486
290,Balanga,883.794372,1043.304653,969.064667
291,Kwami,761.476324,936.484247,848.120991
292,Kaltungo,965.403884,1108.047383,1003.220494
293,Yamaltu/Deba,779.307335,1043.304653,906.364082
294,Dukku,769.989122,951.571487,873.406714
295,Billiri,914.261832,1052.316095,984.707188
296,Gombe,898.471885,939.463431,921.111225
297,Funakaye,742.993013,899.922208,806.847999
298,Ideato South,2360.335072,2420.701105,2402.958124
299,Ideato North,2314.069604,2417.426844,2359.368328
300,Owerri West,2500.794952,2746.002048,2654.023858
301,Owerri North,2500.794952,2785.659844,2649.239448
302,Owerri Municipal,2500.794952,2681.873455,2555.277574
303,Ikeduru,2560.079384,2737.395694,2667.412695
304,Oru West,2317.224998,2516.539226,2431.214594
305,Njaba,2444.056832,2587.574977,2497.85416
306,Nkwerre,2416.110589,2467.468584,2442.537615
307,Ahiazu Mbaise,2511.541866,2644.002437,2561.666328
308,Mbaitoli,2500.794952,2664.301604,2605.246399
309,Okigwe,2324.453907,2488.05655,2389.459715
310,Ngor Okpala,2629.956557,2808.582336,2735.310321
311,Onuimo,2357.480635,2489.960155,2392.68508
312,Ehime  Mbano,2359.496511,2598.316024,2478.585214
313,Nwangele,2416.110589,2557.524439,2496.806382
314,Ihitte/Uboma,2479.614846,2536.27292,2501.940864
315,Ezinihitte Mbaise,2535.092786,2624.219512,2559.324579
316,Isu,2464.498983,2530.458765,2504.61148
317,Isiala Mbano,2359.496511,2613.920653,2536.583284
318,Aboh Mbaise,2535.092786,2751.983642,2652.760793
319,Obowo,2490.708093,2558.208258,2540.18174
320,Orsu,2340.878398,2437.827727,2385.546882
321,Oru East,2364.518867,2587.574977,2485.879047
322,Orlu,2360.405298,2503.459636,2419.213171
323,Kaugama,506.370257,735.625207,564.269683
324,Taura,543.416247,640.389682,585.345655
325,Sule Tankakar,431.638894,585.012906,530.140003
326,Babura,537.077326,728.556762,631.154412
327,Guri,433.420946,558.000001,471.502878
328,Gumel,493.542607,539.471027,525.722847
329,Kiri Kasama,463.874073,734.150644,549.056462
330,Gwaram,833.489957,1138.451397,957.782783
331,Gwiwa,700.819026,754.284881,730.400457
332,Kazaure,641.722922,735.308143,686.852004
333,Hadejia,679.856531,748.433156,692.76893
334,Dutse,686.518764,893.380461,783.08024
335,Auyo,558.130143,756.362576,668.44307
336,Miga,558.130143,660.85588,614.88374
337,Roni,707.599619,767.603132,735.287336
338,Gagarawa,523.017661,558.909039,543.404831
339,Mallam Madori,490.42996,748.433156,578.323369
340,Buji,785.423411,914.268311,823.960077
341,Yankwashi,644.456589,710.105437,677.655111
342,Ringim,593.55907,792.703292,683.026212
343,Biminwa,463.874073,548.114673,495.258911
344,Brinin Kudu,788.145121,1008.184848,898.214429
345,Maigatari,465.600369,550.48765,516.420927
346,Garki,543.416247,803.3963,611.908557
347,Kiyawa,692.708159,848.052615,765.910575
348,Jahun,609.705556,738.685566,678.716508
349,Kafin Hausa,614.051069,756.362576,671.011233
350,Ohafia,2266.988526,2718.854528,2482.542737
351,Osisioma Ngwa,2490.562838,2750.591756,2643.858797
352,Obio Ngwa,2460.105753,2692.765554,2579.464304
353,Umu Nneochi,2186.671017,2422.998357,2345.030146
354,Umuahia South,2372.542147,2587.789206,2457.507404
355,Aba North,2490.562838,2555.951757,2526.86903
356,Umuahia North,2396.486394,2584.324813,2507.072627
357,Arochukwu,2493.674459,2789.37789,2652.210877
358,Bende,2357.736855,2680.728021,2504.460518
359,Ukwa East,2654.072461,2984.6048,2794.157422
360,Ugwunagbo,2555.951757,2779.030189,2692.236224
361,Ukwa West,2667.682906,2917.536451,2750.036749
362,Isiala Ngwa North,2409.207056,2808.582336,2591.355389
363,Isiala Ngwa South,2372.542147,2665.803858,2503.28223
364,Isuikwuato,2324.480915,2527.65537,2456.089527
365,Aba South,2490.562838,2612.054258,2574.278778
366,Ikwuano,2372.542147,2666.38658,2528.208937
367,Tarauni,957.888068,993.012717,966.831527
368,Takai,849.515286,1009.363313,933.243191
369,Garum Mallam,943.453391,1002.627348,971.262106
370,Ajingi,685.574207,850.813107,781.821296
371,Rimin Gado,920.329914,979.14467,959.399489
372,Garko,885.630692,1040.240012,961.703342
373,Gaya,770.643524,890.5552,823.947756
374,Tsanyawa,777.6095,857.874364,814.005128
375,Bagwai,809.380311,963.741214,871.819048
376,Gezawa,836.037066,931.082486,880.858546
377,Sumaila,925.522607,1255.541474,1055.510306
378,Gwale,957.888068,978.831103,970.003181
379,Shanono,826.160438,963.741214,879.567902
380,Rano,969.088877,1045.075053,996.604028
381,Tofa,851.330435,979.14467,939.894621
382,Gabasawa,678.637834,858.237779,788.866738
383,Gwarzo,902.379532,961.899933,939.035282
384,Ungongo,866.635532,978.831103,923.458673
385,Warawa,834.698167,973.409985,898.912022
386,Doguwa,1068.884899,1525.794662,1358.399992
387,Dawakin Tofa,772.384777,965.930645,878.768068
388,Dawakin Kudu,885.291703,982.92835,941.341364
389,Dambatta,681.12295,782.138736,727.972779
390,Dala,944.009679,978.831103,954.942265
391,Bebeji,943.453391,1033.121576,992.00291
392,Kabo,921.433781,968.791455,948.275483
393,Wudil,827.731826,943.584018,885.243565
394,Bunkure,928.123868,1008.150248,973.262083
395,Tudun Wada,969.088877,1307.027106,1092.433283
396,Fagge,936.09866,957.888068,945.899751
397,Bichi,770.850536,873.511711,814.10046
398,Rogo,987.402818,1049.395056,1017.508555
399,Kibiya,955.513777,1062.491605,1014.725507
400,Kiru,921.433781,1051.366553,991.63006
401,Kura,929.196518,976.901516,945.238509
402,Madobi,921.433781,982.92835,948.615317
403,Nassarawa,919.80852,959.283579,946.45477
404,Albasu,801.065347,930.007716,873.050527
405,Makoda,683.173795,809.361227,746.623315
406,Minjibir,745.747296,916.517472,833.150738
407,Karaye,943.024804,1026.607544,976.752525
408,Kunchi,732.660202,806.675243,770.649285
409,Kano Municipal,957.888068,993.012717,970.241791
410,Kumbosto,931.082486,993.012717,980.342421
411,Jibia,596.210917,753.438975,1
412,Ingawa,717.796022,781.049541,747.08835
413,Kaita,608.164404,736.881076,673.562083
414,Kafur,940.165841,1062.965104,999.74091
415,Kankara,830.042655,983.692363,873.993642
416,Kankia,745.178752,845.818537,814.20947
417,Katsina,708.229165,739.505109,730.723257
418,Rimi,706.133457,795.321331,750.983549
419,Tsafe,850.032409,1135.690168,988.225292
420,Sabuwa,1044.054571,1135.307028,1078.382358
421,Faskari,870.608863,1151.682436,1018.520258
422,Safana,673.441809,762.486844,712.040488
423,Mai'Adua,561.523098,717.416876,613.083525
424,Mani,671.427258,773.565343,721.76174
425,Musawa,812.441425,912.631878,850.428393
426,Sandamu,777.629643,874.99038,816.145135
427,Batagarawa,706.133457,797.939004,747.966444
428,Bindawa,705.86046,774.070777,736.924359
429,Batsari,697.849469,806.389033,761.777061
430,Dutsin Ma,806.995734,860.50891,827.231116
431,Daura,628.516218,868.158307,745.859189
432,Kusada,733.630538,820.330833,773.784101
433,Bakori,911.809084,1069.084935,1003.267448
434,Zango,593.280722,713.177407,658.6414
435,Danja,1018.005833,1080.358293,1056.386871
436,Funtua,1022.364309,1102.602126,1069.636597
437,Malumfashi,843.044344,1011.348382,933.817881
438,Dandume,1059.737968,1110.078614,1084.249585
439,Dan Musa,824.076792,861.99873,842.487836
440,Baure,543.44431,658.099583,624.002588
441,Matazu,808.491427,856.376187,825.971469
442,Mashi,592.295604,819.94108,656.374174
443,Dutsi,728.950699,868.158307,786.112061
444,Charanchi,745.777582,831.501322,801.380276
445,Kurfi,748.374883,836.369737,796.294977
446,Argungu,638.34931,733.439658,683.65105
447,Suru,815.431575,956.781348,868.792827
448,Koko/Besse,904.042231,1019.559494,958.977215
449,Sakaba,1099.978692,1227.959174,1185.554054
450,Augie,657.676211,741.701047,705.758354
451,Shanga,927.894699,1141.499612,992.989886
452,Gwandu,684.354553,787.50967,731.668251
453,Wasagu/Danko,1047.308596,1233.901033,1146.602316
454,Bagudo,838.176586,1021.510516,1
455,Jega,774.693051,941.488851,860.272153
456,Fakai,963.542407,1168.57647,1082.332753
457,Dandi,773.085443,941.486394,1
458,Ngaski,982.769696,1550.118871,1183.4541
459,Kalgo,757.786876,915.146962,815.330701
460,Arewa Dandi,604.044636,830.154711,1
461,Birnin Kebbi,669.865977,941.734806,778.581711
462,Zuru,1047.308596,1159.650137,1107.690069
463,Bunza,767.878292,849.311692,799.652965
464,Yauri,932.010725,1130.393516,991.898811
465,Maiyama,830.637175,958.059949,879.774187
466,Aleiro,732.443146,830.533629,771.316171
467,Idah,1310.442955,1415.108545,1336.132021
468,Ankpa,1284.141487,1489.179504,1436.128821
469,Ijumu,1328.932326,1662.335764,1515.908453
470,Bassa,1259.170589,1502.307418,1389.522213
471,Kabba/Bunu,1329.965257,1631.830693,1503.96856
472,Dekina,1266.854823,1524.402177,1394.479333
473,Igalamela Odolu,1260.084283,1703.70913,1420.689724
474,Lokoja,1210.073866,1595.926297,1400.058471
475,Ibaji,1415.108545,1757.194787,1651.474623
476,Kogi,1355.791316,1532.357484,1420.032834
477,Ajaokuta,1176.751391,1392.969824,1275.925582
478,Yagba West,1345.376455,1551.674206,1452.710946
479,Yagba East,1360.677265,1662.335764,1485.913662
480,Mopa Muro,1401.025462,1641.650954,1481.971702
481,Ogori/Magongo,1353.385701,1427.877492,1406.391341
482,Ofu,1239.459176,1448.025028,1328.532249
483,Okene,1176.751391,1381.432224,1265.240781
484,Olamaboro,1329.454955,1642.897442,1436.331686
485,Okehi,1234.648991,1483.67285,1361.347656
486,Omala,1301.002118,1524.402177,1443.028033
487,Adavi,1195.497931,1368.502408,1286.977386
488,Irepodun,1339.949835,1597.017978,1459.961491
489,Ilorin West,1159.10518,1241.935193,1194.320559
490,Oke Ero,1362.427395,1514.029922,1445.409978
491,Pategi,1100.93829,1477.127089,1315.170526
492,Offa,1325.550234,1376.554606,1353.396595
493,Ekiti,1345.376455,1512.791142,1416.022369
494,Kaiama,1008.396844,1395.118227,1118.269769
495,Ifelodun,957.922282,1615.81191,1337.409275
496,Edu,970.866265,1469.641713,1168.352641
497,Asa,1086.074174,1340.562867,1207.734525
498,Isin,1361.744398,1533.652559,1483.113191
499,Baruten,1071.477114,1455.903598,1242.174887
500,Moro,957.922282,1265.251296,1146.54554
501,Ilorin East,1159.10518,1275.332824,1224.656344
502,Oyun,1294.264501,1491.689586,1368.153673
503,Ilorin South,1177.552666,1310.236428,1263.212448
504,Lagos Mainland,1847.699946,1991.437951,1910.203412
505,Lagos Island,1847.699946,1991.437951,1900.422352
506,Alimosho,1614.052211,1744.984254,1684.653164
507,Amuwo Odofin,1607.54799,1918.751295,1
508,Ikeja,1622.647456,1983.305842,1806.517895
509,Kosofe,1801.115358,2058.610314,1969.711106
510,Eti Osa,1776.88605,2009.61783,1916.213356
511,Apapa,1607.54799,1892.622888,1862.192105
512,Ojo,1689.361811,1893.547887,1792.128712
513,Mushin,1911.64086,1983.305842,1939.604502
514,Ibeju Lekki,1848.928534,2120.31677,1938.062069
515,Oshodi/Isolo,1607.54799,1911.64086,1795.247185
516,Agege,1680.597086,1680.597086,1680.597086
517,Ikorodu,1696.240929,1980.5039,1858.060322
518,Ifako/Ijaye,1614.052211,1680.597086,1632.978412
519,Epe,1781.313895,2137.416828,1943.200194
520,Badagry,1597.147919,1865.78235,1772.355729
521,Surulere,1607.54799,1955.082048,1763.40597
522,Shomolu,1955.082048,1983.305842,1961.733416
523,Ajeromi/Ifelodun,1607.54799,1847.699946,1674.153799
524,Lagos Lagoon,1875.035968,2058.610314,1971.334721
525,Nasarawa Eggon,1306.023191,1657.151582,1477.774829
526,Nasarawa,1176.291201,1423.823744,1288.111181
527,Keana,1207.883981,1342.299307,1274.382648
528,Kokona,1299.903992,1478.589571,1382.658632
529,Toto,1253.645253,1449.653057,1348.406052
530,Doma,1183.798564,1349.656724,1252.912286
531,Karu,1260.502068,1655.448846,1444.14108
532,Wamba,1297.158402,1666.440532,1518.036507
533,Akwanga,1434.692749,1657.151582,1506.517242
534,Awe,1190.194103,1356.455001,1263.757158
535,Keffi,1289.124351,1356.057519,1325.75927
536,Lafia,1220.710938,1625.702439,1390.348743
537,Kontagora,1182.91015,1344.571369,1264.558123
538,Gurara,1366.484309,1671.30595,1532.989208
539,Tafa,1462.269072,1612.156285,1528.428552
540,Suleja,1419.845838,1560.756198,1476.673956
541,Bida,1239.226964,1286.15258,1263.437776
542,Mokwa,1013.728816,1419.006904,1175.689416
543,Magama,1026.652356,1466.592394,1205.567
544,Katcha,1125.44086,1364.680611,1199.41224
545,Muya,1422.009588,1708.134752,1574.746186
546,Agwara,926.410722,1376.999263,1035.512982
547,Edati,1172.961005,1413.526014,1244.601283
548,Paikoro,1195.729723,1698.481639,1443.577713
549,Gbako,1151.03185,1291.289996,1218.106089
550,Agaie,1139.540395,1356.201081,1254.586389
551,Shiroro,1224.307853,1686.768159,1403.603734
552,Rijau,986.637481,1193.149888,1120.506646
553,Bosso,1172.193329,1439.738002,1246.184102
554,Wushishi,1154.614103,1324.476989,1269.687393
555,Borgu,980.296984,1550.118871,1139.183328
556,Chanchaga,1215.927826,1328.080748,1282.321158
557,Mariga,1119.99546,1333.883615,1235.940045
