,NAME_2,Average Nighttime mean,system:index,AREA,state,Latitude,Longitude,PERIMETER,Population,statecode,Population Density,Night Light Class
17,Abaji,0.021536958,308,1002.453,Abuja,8.806423965,6.822686551,257.578,137510.4396,BE,137.1739519,0.024093387
21,Kuje,0.012801995,331,1708.466,Abuja,8.638927252,7.230835055,217.281,292352.9377,BE,171.120138,0.024093387
38,Numan,0.010517926,283,813.295,Adamawa,9.452740537,11.93493389,177.191,80331.0079,OS,98.77228792,0.024093387
99,Dambam,0.009743745,163,988.286,Bauchi,11.58617408,10.82629041,129.903,186966.9639,DE,189.1830542,0.024093387
102,Gamawa,0.004188126,97,2980.671,Bauchi,12.0205131,10.6215411,244.217,324234.8112,DE,108.7791344,0.024093387
105,Itas-Gadau,0.003665154,131,1545.691,Bauchi,11.84799724,10.0531601,232.697,269534.8425,AB,174.3782182,0.024093387
106,Jama'are,0.017759418,165,549.474,Bauchi,11.67476838,9.932731365,109.066,78398.9897,AB,142.6800717,0.024093387
109,Misau,0.003731099,185,1216.757,Bauchi,11.361715,10.50081734,171.161,254129.1898,AB,208.8577997,0.024093387
127,Buruku,0.011702884,432,1590.457,Benue,7.373239474,9.143150436,235.885,203786.1252,RI,128.1305469,0.024093387
130,Gwer East,0.021234191,435,2480.175,Benue,7.358386549,8.420729979,240.002,173199.4237,RI,69.83354953,0.024093387
131,Gwer West,0.005563953,409,1245.699,Benue,7.632111561,8.216564874,144.894,99899.19,RI,80.19528795,0.024093387
138,Ogbadibo,0.010736552,499,516.292,Benue,6.972802945,7.65712888,116.152,123109.639,RI,238.4496351,0.024093387
139,Ohimini,0.021308336,480,632.463,Benue,7.207440188,7.949890761,106.807,90467.0966,RI,143.0393503,0.024093387
145,Ushongo,0.003657188,491,1268.178,Benue,7.044107443,9.088712921,196.014,124189.5578,ED,97.92754471,0.024093387
147,Abadam,0.005252385,3,2430.515,Borno,13.36485957,13.18698733,288.957,135760.3274,ED,55.85660957,0.024093387
165,Mafa,0.006400776,103,2933.849,Borno,12.0127148,13.61784753,270.565,141063.0577,TA,48.0812263,0.024093387
169,Mobbar,0.007709122,752,3244.578,Borno,13.05313572,12.70124146,298.171,192501.7927,TA,59.33030203,0.024093387
178,Bekwarra,0.004987691,531,314.478,Cross River,6.680814147,8.902442361,75.267,206947.6159,TA,658.0670696,0.024093387
179,Biase,0.022844805,643,1259.1,Cross River,5.530616406,8.042000429,160.852,102120.1199,CR,81.10564681,0.024093387
185,Obanliku,0.008417894,547,969.419,Cross River,6.509171851,9.289703683,153.555,139015.9681,CR,143.401324,0.024093387
186,Obubra,0.006680311,594,1161.558,Cross River,5.975039277,8.342099597,190.086,139957.2753,CR,120.4909917,0.024093387
