,NAME_2,Average Nighttime mean,system:index,AREA,NAME_1,Latitude,Longitude,PERIMETER,Population,population density,clusters,cluster labels
51,Ibeno,28.57227675,746,213.383,Akwa Ibom,4.562158435,8.101790693,118.972,44222.9481,207.2468196,1,high_intensity
119,Nembe,10.69227345,742,940.308,Bayelsa,4.50931175,6.346443632,142.85,32004.9445,34.03666086,1,high_intensity
380,Fagge,20.16933113,137,27.66,Kano,11.98513403,8.553782299,20.167,291916.8191,10553.7534,1,high_intensity
509,Apapa,18.56885596,765,43.227,Lagos,6.437019209,3.362923608,34.006,271369.4581,6277.776808,1,high_intensity
512,Eti Osa,10.26324599,764,201.279,Lagos,6.452816939,3.533949934,85.069,493328.1549,2450.966842,1,high_intensity
515,Ikeja,17.12913933,551,45.744,Lagos,6.619092372,3.335571541,32.736,307583.9476,6724.028235,1,high_intensity
523,Shomolu,11.98190406,561,18.304,Lagos,6.553516883,3.378711137,17.122,151658.4182,8285.534211,1,high_intensity
524,Surulere,10.04605972,568,30.717,Lagos,6.507097202,3.335343463,23.004,118282.3147,3850.711811,1,high_intensity
683,Ahoada West,12.58286894,691,440.862,Rivers,5.051759562,6.500536066,115.787,71769.4543,162.7934689,1,high_intensity
696,Ogba-Egbema-Ndoni,13.22123108,652,700.062,Rivers,5.394652183,6.639998913,184.44,386531.4035,552.1388156,1,high_intensity
