,NAME_2,Average Nighttime mean,system:index,AREA,NAME_1,Latitude,Longitude,PERIMETER,Population,population density,clusters,cluster labels
2,Arochukwu,0.089510468,656,386.125,Abia,5.498930912,7.795863292,133.618,146354.5149,379.0340302,0,low_intensity
3,Bende,0.076452124,636,603.923,Abia,5.655239193,7.588170143,141.298,236492.5846,391.593936,0,low_intensity
4,Ikwuano,0.066904772,674,237.941,Abia,5.384023822,7.56831668,78.189,153494.9633,645.0967395,0,low_intensity
5,Isiala-Ngwa North,0.089842249,677,253.472,Abia,5.370156308,7.406566047,87.648,231792.9538,914.4716332,0,low_intensity
6,Isiala-Ngwa South,0.185484249,681,261.344,Abia,5.267831539,7.390570499,88.729,267528.7557,1023.665191,0,low_intensity
7,Isuikwuato,0.053775774,633,336.384,Abia,5.762120208,7.463058765,83.375,185895.9741,552.6302502,0,low_intensity
8,Oboma Ngwa,0.797231575,685,374.566,Abia,5.127125924,7.455779945,92.194,463748.4541,1238.095433,0,low_intensity
9,Ohafia,0.060667726,639,568.415,Abia,5.656081156,7.77802084,114.317,199576.7376,351.1109622,0,low_intensity
10,Osisioma Ngwa,0.759793082,684,192.718,Abia,5.177648891,7.319388523,67.527,558677.8389,2898.939585,0,low_intensity
11,Ugwunagbo,0.369911881,707,106.283,Abia,5.006283015,7.339427888,51.132,86627.5702,815.0651581,0,low_intensity
12,Ukwa East,0.148015976,710,246.503,Abia,4.923012669,7.407905229,82.923,67470.8249,273.7119828,0,low_intensity
13,Ukwa West,0.959377897,702,293.335,Abia,4.954009236,7.239266452,73.3,106842.7926,364.2347234,0,low_intensity
14,Umuahia North,0.65489554,655,231.14,Abia,5.557996042,7.468691652,74.446,308068.8085,1332.823434,0,low_intensity
15,Umuahia South,0.180776273,670,131.269,Abia,5.462338035,7.439974237,53.22,224345.4052,1709.05092,0,low_intensity
16,Umu-Nneochi,0.028508886,617,451.958,Abia,5.939977755,7.41034335,84.996,220614.5579,488.1306624,0,low_intensity
17,Abaji,0.021536958,308,1002.453,Abuja,8.806423965,6.822686551,257.578,137510.4396,137.1739519,0,low_intensity
19,Bwari,1.679154988,300,818.909,Abuja,9.20786352,7.429934191,153.605,728784.3978,889.9455224,0,low_intensity
20,Gwagwalada,0.107655255,307,967.762,Abuja,9.053900363,6.985332176,129.429,522133.3055,539.5265628,0,low_intensity
21,Kuje,0.012801995,331,1708.466,Abuja,8.638927252,7.230835055,217.281,292352.9377,171.120138,0,low_intensity
22,Kwali,0.029357349,329,1299.111,Abuja,8.719626437,6.951803966,151.853,236750.4312,182.2403407,0,low_intensity
23,Demsa,0.057635126,281,2289.566,Adamawa,9.364226887,12.1814434,229.339,150469.6337,65.7197188,0,low_intensity
24,Fufore,-0.004980624,276,4270.342,Adamawa,9.166311153,12.63841247,433.228,239979.6884,56.19683117,0,low_intensity
25,Ganye,-0.006360987,343,1834.296,Adamawa,8.414845176,11.9864478,224.221,192931.6416,105.1802117,0,low_intensity
26,Girie,-0.0119069,244,1865.627,Adamawa,10.18686968,12.64760147,194.495,181186.8923,97.11849812,0,low_intensity
27,Gombi,0.024153636,285,1084.333,Adamawa,9.430360776,12.5899079,158.498,200932.5643,185.3052192,0,low_intensity
28,Guyuk,-0.003953803,264,699.835,Adamawa,9.82368663,11.99835965,130.547,136843.6889,195.537075,0,low_intensity
29,Hong,-0.009042694,239,2732.219,Adamawa,10.30344733,13.02889157,220.773,231758.0337,84.82410586,0,low_intensity
30,Jada,-0.000657,334,1776.035,Adamawa,8.668160919,12.41448062,226.688,197998.8036,111.4836158,0,low_intensity
31,Lamurde,0.030472279,279,1167.036,Adamawa,9.568231386,11.80851897,154.327,78434.1592,67.20800318,0,low_intensity
32,Madagali,-0.003766043,221,498.673,Adamawa,10.83897145,13.54326112,97.89,128574.8406,257.8339726,0,low_intensity
33,Maiha,-0.017190038,254,530.763,Adamawa,9.887456793,13.22483752,161.644,94183.1496,177.4485968,0,low_intensity
34,Mayo-Belwa,-0.006342652,310,2175.744,Adamawa,8.867928043,12.05996265,279.185,197334.9529,90.69768911,0,low_intensity
35,Michika,-0.0189067,225,689.417,Adamawa,10.60764886,13.45078284,116.98,158182.441,229.4437779,0,low_intensity
36,Mubi North,0.001949576,243,687.937,Adamawa,10.32686924,13.38032452,126.823,180307.1535,262.0983513,0,low_intensity
37,Mubi South,-0.017975349,252,185.577,Adamawa,10.19038018,13.39325654,57.961,170740.0858,920.0498219,0,low_intensity
38,Numan,0.010517926,283,813.295,Adamawa,9.452740537,11.93493389,177.191,80331.0079,98.77228792,0,low_intensity
39,Shelleng,-0.018019296,249,1605.411,Adamawa,9.922920132,12.22929807,202.623,121762.492,75.84505899,0,low_intensity
40,Song,-0.013663465,263,4324.615,Adamawa,9.811197199,12.73161841,321.632,239863.3654,55.46467498,0,low_intensity
41,Toungo,-0.006275245,358,4627.869,Adamawa,8.001850471,11.85056626,340.831,49834.2979,10.76830349,0,low_intensity
42,Yola North,0.58375873,302,139.997,Adamawa,9.251618228,12.52006908,50.841,206303.3767,1473.627126,0,low_intensity
43,Yola South,0.171310929,306,370.27,Adamawa,9.157369439,12.59183879,90.685,368752.0384,995.9003927,0,low_intensity
44,Abak,0.143322189,701,177.485,Akwa Ibom,5.006098356,7.760621548,78.365,161657.0086,910.8206812,0,low_intensity
45,Eastern Obolo,0.338363098,747,109.034,Akwa Ibom,4.516033702,7.684731485,75.93,19312.3599,177.1223646,0,low_intensity
47,Esit Eket,2.016389527,741,139.599,Akwa Ibom,4.63339369,8.067647956,48.16,53616.3324,384.0739002,0,low_intensity
48,Essien Udim,0.147469807,697,299.011,Akwa Ibom,5.099093944,7.638979579,81.343,115335.0762,385.7218504,0,low_intensity
49,Etim Ekpo,0.045941016,709,193.536,Akwa Ibom,4.960886861,7.590374259,74.743,91539.0515,472.9820369,0,low_intensity
50,Etinan,0.177722975,717,171.492,Akwa Ibom,4.801230423,7.834806511,74.423,78133.4383,455.6098145,0,low_intensity
52,Ibesikpo Asutan,0.377408048,712,175.745,Akwa Ibom,4.911515322,7.940851365,58.348,202048.984,1149.671308,0,low_intensity
53,Ibiono Ibom,0.240101098,680,316.253,Akwa Ibom,5.199930525,7.881162351,98.815,104322.6338,329.8708117,0,low_intensity
54,Ika,0.067295457,706,130.881,Akwa Ibom,5.001235389,7.525873153,54.515,37501.5796,286.5318847,0,low_intensity
55,Ikono,0.244640878,682,269.755,Akwa Ibom,5.207500248,7.776426684,85.945,116095.6231,430.3743141,0,low_intensity
56,Ikot Abasi,0.262474626,740,338.5,Akwa Ibom,4.601067506,7.627443291,83.543,124116.7133,366.6668044,0,low_intensity
57,Ikot Ekpene,0.324239776,689,133.545,Akwa Ibom,5.187059079,7.683819156,51.313,227297.7474,1702.031131,0,low_intensity
58,Ini,0.050369954,669,473.182,Akwa Ibom,5.397681646,7.734272512,101.17,96777.1229,204.5241005,0,low_intensity
59,Itu,0.558307875,688,255.877,Akwa Ibom,5.148023311,7.978690337,79.634,141059.5835,551.2788703,0,low_intensity
60,Mbo,0.436601029,734,231.496,Akwa Ibom,4.646743486,8.240818505,72.887,69092.5893,298.4612663,0,low_intensity
61,Mkpat Enin,0.209349406,722,347.08,Akwa Ibom,4.687933422,7.756467552,117.661,82999.1979,239.1356399,0,low_intensity
62,Nsit Atai,0.165993676,721,131.734,Akwa Ibom,4.817696341,8.025931651,49.037,46886.9437,355.9213544,0,low_intensity
63,Nsit Ibom,0.17663915,713,119.971,Akwa Ibom,4.878504208,7.882292912,58.007,55409.4971,461.8574247,0,low_intensity
64,Nsit Ubium,0.306336106,725,204.246,Akwa Ibom,4.742737273,7.948754842,60.003,88812.3168,434.8301401,0,low_intensity
65,Obot Akara,0.085942514,683,232.632,Akwa Ibom,5.241882375,7.589776331,69.045,74362.8989,319.6589416,0,low_intensity
66,Okobo,0.13697183,719,275.251,Akwa Ibom,4.803958622,8.118507664,80.225,61470.6669,223.3258622,0,low_intensity
67,Onna,0.608465127,739,151.591,Akwa Ibom,4.615966734,7.848686869,60.525,69201.6557,456.5024025,0,low_intensity
68,Oron,0.204174102,774,81.472,Akwa Ibom,4.779526213,8.251202156,57.846,119312.8096,1464.463983,0,low_intensity
69,Oruk Anam,0.059491336,716,470.35,Akwa Ibom,4.795128064,7.655561094,102.778,136993.3138,291.2582413,0,low_intensity
70,Udung Uko,0.145100359,730,53.736,Akwa Ibom,4.745103565,8.241685812,35.684,20599.6845,383.3497934,0,low_intensity
71,Ukanafun,0.04962264,711,279.592,Akwa Ibom,4.879845413,7.598512292,89.558,107806.5606,385.5852836,0,low_intensity
72,Uruan,0.325948581,700,291.551,Akwa Ibom,4.983042047,8.042332121,89.334,117372.1739,402.5785331,0,low_intensity
73,Urue Offong-Oruko,0.194968689,731,127.666,Akwa Ibom,4.710338154,8.158939634,51.303,48854.2567,382.6724163,0,low_intensity
75,Aguata,0.239580589,616,162.798,Anambra,5.974717947,7.046606351,54.538,436697.0714,2682.447397,0,low_intensity
76,Anambra East,0.370568918,575,380.294,Anambra,6.298195667,6.857310435,97.287,102936.7594,270.6767906,0,low_intensity
77,Anambra West,0.035148183,535,743.236,Anambra,6.490933791,6.799636875,155.613,27477.1951,36.96967733,0,low_intensity
78,Anaocha,0.295962236,602,105.321,Anambra,6.074199998,6.995682913,53.252,164136.1385,1558.436955,0,low_intensity
79,Awka North,0.139311211,577,389.636,Anambra,6.329009787,7.04082127,81.161,65268.241,167.5108075,0,low_intensity
80,Awka South,0.971216758,596,171.447,Anambra,6.177681443,7.061528258,55.585,243014.3155,1417.431133,0,low_intensity
81,Ayamelum,0.029731711,541,570.041,Anambra,6.568544978,6.97476177,123.942,75584.5071,132.5948609,0,low_intensity
