,NAME_2,Average Nighttime mean,system:index,AREA,state,Latitude,Longitude,PERIMETER,Population,statecode,Population Density,Night Light Class
3,Bende,0.076452124,636,603.923,Abia,5.655239193,7.588170143,141.298,236492.5846,BE,391.593936,0.078618611
4,Ikwuano,0.066904772,674,237.941,Abia,5.384023822,7.56831668,78.189,153494.9633,BE,645.0967395,0.078618611
7,Isuikwuato,0.053775774,633,336.384,Abia,5.762120208,7.463058765,83.375,185895.9741,BE,552.6302502,0.078618611
9,Ohafia,0.060667726,639,568.415,Abia,5.656081156,7.77802084,114.317,199576.7376,BE,351.1109622,0.078618611
16,Umu-Nneochi,0.028508886,617,451.958,Abia,5.939977755,7.41034335,84.996,220614.5579,BE,488.1306624,0.078618611
22,Kwali,0.029357349,329,1299.111,Abuja,8.719626437,6.951803966,151.853,236750.4312,BE,182.2403407,0.078618611
23,Demsa,0.057635126,281,2289.566,Adamawa,9.364226887,12.1814434,229.339,150469.6337,OS,65.7197188,0.078618611
27,Gombi,0.024153636,285,1084.333,Adamawa,9.430360776,12.5899079,158.498,200932.5643,OS,185.3052192,0.078618611
31,Lamurde,0.030472279,279,1167.036,Adamawa,9.568231386,11.80851897,154.327,78434.1592,OS,67.20800318,0.078618611
49,Etim Ekpo,0.045941016,709,193.536,Akwa Ibom,4.960886861,7.590374259,74.743,91539.0515,OS,472.9820369,0.078618611
54,Ika,0.067295457,706,130.881,Akwa Ibom,5.001235389,7.525873153,54.515,37501.5796,IM,286.5318847,0.078618611
58,Ini,0.050369954,669,473.182,Akwa Ibom,5.397681646,7.734272512,101.17,96777.1229,IM,204.5241005,0.078618611
69,Oruk Anam,0.059491336,716,470.35,Akwa Ibom,4.795128064,7.655561094,102.778,136993.3138,IM,291.2582413,0.078618611
71,Ukanafun,0.04962264,711,279.592,Akwa Ibom,4.879845413,7.598512292,89.558,107806.5606,IM,385.5852836,0.078618611
77,Anambra West,0.035148183,535,743.236,Anambra,6.490933791,6.799636875,155.613,27477.1951,IM,36.96967733,0.078618611
81,Ayamelum,0.029731711,541,570.041,Anambra,6.568544978,6.97476177,123.942,75584.5071,DE,132.5948609,0.078618611
94,Orumba South,0.037180685,614,231.92,Anambra,5.980174023,7.219784987,70.712,169796.0113,DE,732.1318183,0.078618611
