,lga,Borehole,Don't Know,Handpump,Overhead Tank,Rainwater Harvesting System,Tap,Unimproved,Unimproved Large Diameter Well,Unimproved Rainwater Harvesting System,Unimproved Well,Unprotected Spring,Untreated Surface Water,,Average Nighttime mean,system:index,AREA,STATE,Latitude,Longitude,PERIMETER,Population
600,abia aba north,2,0,0,0,0,37,0,0,0,0,0,0,,3.422659343,698,18.116,Abia,5.100754338,7.35961746,31.927,245825.278
707,abia aba south,1,2,0,0,0,12,0,0,0,0,0,0,,1.949728226,699,51.131,Abia,5.071438184,7.341737236,29.855,380211.9108
390,abia arochukwu,0,0,3,17,0,3,0,0,0,0,0,0,,0.089510468,656,386.125,Abia,5.498930912,7.795863292,133.618,146354.5149
401,abia bende,13,1,0,0,0,80,1,0,0,2,3,1,,0.076452124,636,603.923,Abia,5.655239193,7.588170143,141.298,236492.5846
590,abia ikwuano,0,3,0,0,0,120,0,0,0,0,0,0,,0.066904772,674,237.941,Abia,5.384023822,7.56831668,78.189,153494.9633
182,abia isiala ngwa north,2,0,0,0,0,47,2,0,0,1,0,0,,0.089842249,677,253.472,Abia,5.370156308,7.406566047,87.648,231792.9538
671,abia isiala ngwa south,0,0,3,64,0,19,1,0,0,0,0,0,,0.185484249,681,261.344,Abia,5.267831539,7.390570499,88.729,267528.7557
111,abia isuikwuato,21,0,0,0,0,55,3,0,0,3,4,0,,0.053775774,633,336.384,Abia,5.762120208,7.463058765,83.375,185895.9741
673,abia obi ngwa,0,2,7,0,0,86,0,4,0,0,0,0,,0.797231575,685,374.566,Abia,5.127125924,7.455779945,92.194,463748.4541
325,abia ohafia,2,0,0,0,0,43,0,2,0,0,0,0,,0.060667726,639,568.415,Abia,5.656081156,7.77802084,114.317,199576.7376
61,abia osisioma ngwa,1,1,0,0,0,21,0,0,0,0,0,0,,0.759793082,684,192.718,Abia,5.177648891,7.319388523,67.527,558677.8389
341,abia ugwunagbo,3,14,0,0,0,87,0,0,0,10,0,0,,0.369911881,707,106.283,Abia,5.006283015,7.339427888,51.132,86627.5702
314,abia ukwa east,0,0,8,15,0,1,0,0,0,0,0,0,,0.148015976,710,246.503,Abia,4.923012669,7.407905229,82.923,67470.8249
475,abia ukwa west,0,2,0,0,0,57,0,0,0,0,0,0,,0.959377897,702,293.335,Abia,4.954009236,7.239266452,73.3,106842.7926
295,abia umuahia north,0,8,0,0,0,98,2,0,0,6,0,0,,0.65489554,655,231.14,Abia,5.557996042,7.468691652,74.446,308068.8085
177,abia umuahia south,4,2,0,0,0,33,0,0,0,0,0,0,,0.180776273,670,131.269,Abia,5.462338035,7.439974237,53.22,224345.4052
679,abia umunneochi,0,0,0,23,0,3,8,0,0,0,0,0,,0.028508886,617,451.958,Abia,5.939977755,7.41034335,84.996,220614.5579
620,adamawa demsa,35,0,0,0,0,43,0,0,0,0,0,0,,0.057635126,281,2289.566,Adamawa,9.364226887,12.1814434,229.339,150469.6337
658,adamawa fufore,0,0,165,30,0,8,3,0,0,0,0,0,,-0.004980624,276,4270.342,Adamawa,9.166311153,12.63841247,433.228,239979.6884
147,adamawa ganaye,9,0,0,0,0,153,0,0,0,0,0,0,,-0.006360987,343,1834.296,Adamawa,8.414845176,11.9864478,224.221,192931.6416
447,adamawa gayuk,35,4,0,0,0,29,0,0,0,7,0,1,,-0.0119069,244,1865.627,Adamawa,10.18686968,12.64760147,194.495,181186.8923
377,adamawa gombi,27,32,0,0,0,62,0,0,0,3,0,0,,0.024153636,285,1084.333,Adamawa,9.430360776,12.5899079,158.498,200932.5643
601,adamawa grie,73,1,67,0,0,157,5,14,0,0,0,0,,-0.003953803,264,699.835,Adamawa,9.82368663,11.99835965,130.547,136843.6889
574,adamawa hong,40,0,0,0,0,173,0,0,0,14,0,0,,-0.009042694,239,2732.219,Adamawa,10.30344733,13.02889157,220.773,231758.0337
462,adamawa jada,88,0,0,0,0,51,0,0,0,4,0,2,,-0.000657,334,1776.035,Adamawa,8.668160919,12.41448062,226.688,197998.8036
696,adamawa lamurde,0,0,34,0,0,1,0,1,0,0,0,0,,0.030472279,279,1167.036,Adamawa,9.568231386,11.80851897,154.327,78434.1592
